,track_uri,track_name,track_pop,artist_uri,artist_name,artist_pop,artist_genres,album,album_uri
190,52yvH039KJk9IerF0NTYWm,Lovers In A Past Life (with Rag'n'Bone Man) - LP Giobbi Remix,58,7CajNmpbOovFoOoasH2HaY,Calvin Harris,84,"['dance pop', 'edm', 'electro house', 'house', 'pop', 'pop dance', 'progressive house', 'uk dance']",Lovers In A Past Life (with Rag'n'Bone Man) [LP Giobbi Remix],spotify:album:6LnXGn4Jb2lSb819kklrgn
191,0KqVaOxvmYJMz10w3SbiaV,Morena - Ao Vivo,79,1tKrZaph4cLsnEdqC5BNEQ,Clayton & Romário,68,"['agronejo', 'arrocha', 'sertanejo pop', 'sertanejo universitario']",Morena (Ao Vivo),spotify:album:5EfQ5PwczBX8nsllntPnLK
192,32bIjXtZWUk21aC7fooG8g,"Witness Me (feat. Shawn Mendes, Stormzy & Kirk Franklin)",55,0QWrMNukfcVOmgEU0FEDyD,Jacob Collier,61,['uk alternative pop'],Djesse Vol. 4,spotify:album:13r6eqjYlKELFQlNvVCBz1
193,4faNMjNcWITplikCBbhK5z,Thank God & Jimmy Buffett,48,0TnOYISbd1XYRBk9myaseg,Pitbull,82,"['dance pop', 'miami hip hop', 'pop']",Trackhouse (Daytona 500 Edition),spotify:album:56jg3KJcYmfL7RzYmG2O1Q
194,0UszJMTKOq9icL7IgxBPVi,Green & Gold (feat. Charlotte Plank & Riko Dan) - Champion Remix,40,4WN5naL3ofxrVBgFpguzKo,Rudimental,70,"['pop dance', 'uk dance', 'uk funky']",Green & Gold (feat. Charlotte Plank & Riko Dan) [Champion Remix],spotify:album:1kexuY5YJQXRtjghtRdRMy
195,4CJM9UYGZoiz617S9Bsq4Z,Lovers In A Past Life (with Rag'n'Bone Man),54,7CajNmpbOovFoOoasH2HaY,Calvin Harris,84,"['dance pop', 'edm', 'electro house', 'house', 'pop', 'pop dance', 'progressive house', 'uk dance']",Lovers In A Past Life (with Rag'n'Bone Man) [Felix Jaehn Remix],spotify:album:5nUzwTEVEA9BWtlxMJdyuY
196,5L8C1PZGCpZf8STcN79H5j,Unforgettable,75,3N4FiTxpPQRsrihmTMN349,Marcus & Martinus,60,"['norwegian pop', 'talentkonkurranse']",Unforgettable,spotify:album:7LJDPOglV0dhqpO1DGrvob
197,1UcN0LPyGfmprtp5PlivjG,Hot For Preacher,50,1aEYCT7t18aM3VvM6y8oVR,Alkaline Trio,55,"['chicago punk', 'emo', 'pop punk', 'punk', 'skate punk']","Blood, Hair, And Eyeballs",spotify:album:3BQK669H6FrqGVd7YtxNIs
198,7bDf4FJfRCTXPnOqxWu5xG,Cowboy Cry,53,74a1KhMBkw4iweAtpbjuHk,Jay Webb,56,['modern country pop'],Cowboy Cry + Me & This Bottle,spotify:album:4U2eiBxJifBFuArPwPWpA0
199,7MldfpASFj4cWkf3xduIGu,You and I,20,4igDSX1kgfWbVTDCywcBGm,Johnnyswim,45,"['acoustic pop', 'folk-pop']",Diamonds (10th Anniversary Edition),spotify:album:5kV8HmG6YibcRcXpiF6tzi
