track_uri,track_name,track_pop,track_genre,artist_name,artist_pop,artist_followers,artist_genres,album,danceability,energy,key,mode,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,artist_uri,album_uri
54IOomZc6531e16lwqoflh,Down to the Honky Tonk - Live from the Wiltern Theatre,23,country,Jake Owen,63,1880791,"['contemporary country', 'country', 'country road', 'modern country rock']",Palm Trees & Palm Readers - Jake Owen: Live in Los Angeles,0.374,0.844,3,1,-9.76,0.0878,0.0383,0.00102,0.735,0.514,164.168,343744,4,1n2pb9Tsfe4SwAjmUac6YT,spotify:album:3bueDQEMFcyT5rYgTwkFJh
2ommxTGddb9w9EyWolLX69,Catch a Cold One - Live from the Wiltern Theatre,23,country,Jake Owen,63,1880791,"['contemporary country', 'country', 'country road', 'modern country rock']",Palm Trees & Palm Readers - Jake Owen: Live in Los Angeles,0.551,0.823,3,1,-10.023,0.0526,0.137,2.15e-06,0.405,0.69,149.853,117173,4,1n2pb9Tsfe4SwAjmUac6YT,spotify:album:3bueDQEMFcyT5rYgTwkFJh
0BvgzWhy8A0iXJAdLT0VTx,Sure Feels Right - Live from the Wiltern Theatre,23,country,Jake Owen,63,1880791,"['contemporary country', 'country', 'country road', 'modern country rock']",Palm Trees & Palm Readers - Jake Owen: Live in Los Angeles,0.39,0.387,11,1,-14.158,0.0383,0.774,0.0,0.934,0.312,86.455,224085,4,1n2pb9Tsfe4SwAjmUac6YT,spotify:album:3bueDQEMFcyT5rYgTwkFJh
604kdjS63zwoad1DmHqsPD,Homemade - Live from the Wiltern Theatre,22,country,Jake Owen,63,1880791,"['contemporary country', 'country', 'country road', 'modern country rock']",Palm Trees & Palm Readers - Jake Owen: Live in Los Angeles,0.493,0.546,6,1,-11.386,0.0488,0.02,0.0,0.972,0.447,145.907,312205,4,1n2pb9Tsfe4SwAjmUac6YT,spotify:album:3bueDQEMFcyT5rYgTwkFJh
2uyKanTGlCunWKGJjIdRcZ,Days of Gold - Live from the Wiltern Theatre,22,country,Jake Owen,63,1880791,"['contemporary country', 'country', 'country road', 'modern country rock']",Palm Trees & Palm Readers - Jake Owen: Live in Los Angeles,0.534,0.867,5,0,-9.947,0.0922,0.0172,0.000898,0.979,0.524,110.943,227413,4,1n2pb9Tsfe4SwAjmUac6YT,spotify:album:3bueDQEMFcyT5rYgTwkFJh
4ogXm37KBF8OEHY6lXlAud,Longhaired Redneck (feat. Tyler Booth) - Live from the Wiltern Theatre,22,country,Jake Owen,63,1880791,"['contemporary country', 'country', 'country road', 'modern country rock']",Palm Trees & Palm Readers - Jake Owen: Live in Los Angeles,0.456,0.627,6,1,-10.451,0.0412,0.369,2.06e-06,0.988,0.555,98.01,168741,4,1n2pb9Tsfe4SwAjmUac6YT,spotify:album:3bueDQEMFcyT5rYgTwkFJh
1tfqgNAR9muSX3hyhMoPJj,Best Thing Since Backroads - Live from the Wiltern Theatre,22,country,Jake Owen,63,1880791,"['contemporary country', 'country', 'country road', 'modern country rock']",Palm Trees & Palm Readers - Jake Owen: Live in Los Angeles,0.499,0.683,7,1,-9.947,0.0313,0.0389,0.00016,0.671,0.42,77.952,206389,4,1n2pb9Tsfe4SwAjmUac6YT,spotify:album:3bueDQEMFcyT5rYgTwkFJh
78dhmVjnHIl8PowgvTpdlk,Made for You - Live from the Wiltern Theatre,22,country,Jake Owen,63,1880791,"['contemporary country', 'country', 'country road', 'modern country rock']",Palm Trees & Palm Readers - Jake Owen: Live in Los Angeles,0.398,0.184,2,1,-15.824,0.0323,0.839,0.0,0.415,0.337,153.964,206475,4,1n2pb9Tsfe4SwAjmUac6YT,spotify:album:3bueDQEMFcyT5rYgTwkFJh
6Wf02Ct26cPtcMFzNs44Ep,I Was Jack (You Were Diane) - Live from the Wiltern Theatre,21,country,Jake Owen,63,1880791,"['contemporary country', 'country', 'country road', 'modern country rock']",Palm Trees & Palm Readers - Jake Owen: Live in Los Angeles,0.59,0.74,6,1,-10.549,0.111,0.0601,0.0,0.388,0.315,94.023,265392,4,1n2pb9Tsfe4SwAjmUac6YT,spotify:album:3bueDQEMFcyT5rYgTwkFJh
1LxIBjqRRbMefG2hOaNOZy,The Blues Man - Live from the Wiltern Theatre,21,country,Jake Owen,63,1880791,"['contemporary country', 'country', 'country road', 'modern country rock']",Palm Trees & Palm Readers - Jake Owen: Live in Los Angeles,0.524,0.24,7,1,-16.406,0.0544,0.842,0.0,0.813,0.389,120.288,287275,4,1n2pb9Tsfe4SwAjmUac6YT,spotify:album:3bueDQEMFcyT5rYgTwkFJh
2sgriZ85WyeC1BoltY7G4E,Beachin' - Live from the Wiltern Theatre,21,country,Jake Owen,63,1880791,"['contemporary country', 'country', 'country road', 'modern country rock']",Palm Trees & Palm Readers - Jake Owen: Live in Los Angeles,0.627,0.794,6,1,-10.567,0.0583,0.0538,3.16e-06,0.338,0.578,90.924,172917,4,1n2pb9Tsfe4SwAjmUac6YT,spotify:album:3bueDQEMFcyT5rYgTwkFJh
7En7N5pDsUhdIFxTcqeAXN,Come Monday - Live from the Wiltern Theatre,21,country,Jake Owen,63,1880791,"['contemporary country', 'country', 'country road', 'modern country rock']",Palm Trees & Palm Readers - Jake Owen: Live in Los Angeles,0.457,0.184,7,1,-18.481,0.045,0.85,0.0,0.684,0.398,122.733,225205,3,1n2pb9Tsfe4SwAjmUac6YT,spotify:album:3bueDQEMFcyT5rYgTwkFJh
