track_uri,track_name,track_pop,track_genre,artist_name,artist_pop,artist_followers,artist_genres,album,danceability,energy,key,mode,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,artist_uri,album_uri
29nPygpsVzakvNzroQUcuJ,Child in Time - Live in Montreux 1971,14,hard-rock,Deep Purple,63,5406693,"['album rock', 'classic rock', 'hard rock', 'metal', 'rock']",Machine Head (Super Deluxe),0.268,0.279,2,1,-14.316,0.0351,0.31,0.0269,0.425,0.148,106.262,1213440,4,568ZhdwyaiCyOGJRtNYhWf,spotify:album:4ufVNYBWywTd6RJdYCtzE3
3WLvt6qgwBukN1r0Zn7jqX,...And They Prayed On My Downfall,13,hard-rock,Santa Cruz,29,35787,"['finnish hard rock', 'new wave of glam metal', 'sleaze rock']",Modern Day Madman,0.487,0.966,10,0,-4.477,0.135,6.21e-05,1.47e-06,0.357,0.198,118.009,216307,4,1ZP10xzJoQljzTHiaU2Gri,spotify:album:3jHPUy4FTOVp0ZJe4BV8XL
7LRAwO7wa1jefYQgynj3t7,American Girl,3,hard-rock,Tom Petty and the Heartbreakers,65,2718732,"['album rock', 'classic rock', 'hard rock', 'heartland rock', 'mellow gold', 'rock', 'singer-songwriter', 'soft rock']",Feel Good Classic Rock,0.552,0.823,2,1,-5.988,0.0332,0.445,0.000129,0.366,0.775,114.514,214733,4,4tX2TplrkIP4v05BNC903e,spotify:album:18NM3NhJ6npKqoDhDFwAs4
6b4rz8kniVW2DcUwoSMKeu,Paint It Black - Live in Montreux 1971,13,hard-rock,Deep Purple,63,5406693,"['album rock', 'classic rock', 'hard rock', 'metal', 'rock']",Machine Head (Super Deluxe),0.24,0.351,9,1,-16.146,0.0629,0.496,0.507,0.121,0.125,95.705,314493,4,568ZhdwyaiCyOGJRtNYhWf,spotify:album:4ufVNYBWywTd6RJdYCtzE3
5pPIiGsAt8HQ3QEcbaWKMT,Into the Fire - Live in Montreux 1971,13,hard-rock,Deep Purple,63,5406693,"['album rock', 'classic rock', 'hard rock', 'metal', 'rock']",Machine Head (Super Deluxe),0.177,0.541,11,0,-10.328,0.0575,0.0953,5.42e-05,0.373,0.53,170.804,258453,4,568ZhdwyaiCyOGJRtNYhWf,spotify:album:4ufVNYBWywTd6RJdYCtzE3
5936lxqWBsNGOdVaKc7qti,Fear Of Letting Go,7,hard-rock,Kris Barras Band,30,16732,"['modern hard rock', 'nwocr']",Halo Effect (Piano & Acoustic Edition),0.488,0.85,0,0,-5.272,0.0584,0.0088,0.0,0.0636,0.596,140.025,222813,4,241MOvr69jR2U48FW5WbKv,spotify:album:1qytbYC7GxJH0Bk9M5aT9Z
1hbPJcOFhMiZagx9rBXpnW,Landslide,7,hard-rock,Kris Barras Band,30,16732,"['modern hard rock', 'nwocr']",Halo Effect (Piano & Acoustic Edition),0.496,0.818,0,0,-4.919,0.0454,0.00986,0.0,0.0934,0.396,143.96,229307,4,241MOvr69jR2U48FW5WbKv,spotify:album:1qytbYC7GxJH0Bk9M5aT9Z
2teYCKIWzQLuw1KJ7bOXzk,Savages,8,hard-rock,Kris Barras Band,30,16732,"['modern hard rock', 'nwocr']",Halo Effect (Piano & Acoustic Edition),0.386,0.761,0,0,-6.136,0.034,0.0107,1.63e-05,0.372,0.432,170.103,234773,4,241MOvr69jR2U48FW5WbKv,spotify:album:1qytbYC7GxJH0Bk9M5aT9Z
6S6fUl02WbSCuTRcu9Q5dV,Waste Away With Me,7,hard-rock,Kris Barras Band,30,16732,"['modern hard rock', 'nwocr']",Halo Effect (Piano & Acoustic Edition),0.537,0.86,7,0,-5.095,0.0764,0.00258,0.0,0.147,0.465,110.037,188413,4,241MOvr69jR2U48FW5WbKv,spotify:album:1qytbYC7GxJH0Bk9M5aT9Z
2sFPakieSDVrXHiVHgj1yz,With You,11,hard-rock,Kris Barras Band,30,16732,"['modern hard rock', 'nwocr']",Halo Effect (Piano & Acoustic Edition),0.496,0.866,0,0,-5.89,0.0467,0.00429,4.93e-06,0.149,0.437,92.506,223627,4,241MOvr69jR2U48FW5WbKv,spotify:album:1qytbYC7GxJH0Bk9M5aT9Z
