track_uri,track_name,track_pop,track_genre,artist_name,artist_pop,artist_followers,artist_genres,album,danceability,energy,key,mode,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,artist_uri,album_uri
39GYbG754FbhfLUJmoFd7e,Agony and Pain,5,metal,MNHG,5,264,['german black metal'],Necare,0.332,0.814,1,0,-9.171,0.0429,1.89e-05,0.433,0.0734,0.204,138.301,219480,4,3vViPwL34qTXlMoJ4HAFJC,spotify:album:1DQ1k4ppELzYu5l4sPQC7e
1omOrzjFVuIAMYfHk9dwnJ,Mare and Foal,0,metal,Harvestman,10,4234,['drone metal'],Triptych: Part One,0.175,0.333,2,1,-16.497,0.0309,0.591,0.925,0.128,0.0427,77.357,261274,4,2cxbAiboYa73BmjPJH9KU0,spotify:album:6t03BEws0nGdfEzWK7vdXk
1HO43R7c10PWyKh7CdrpYf,Awake and Alive,3,metal,Skillet,71,5007681,"['alternative metal', 'christian alternative rock', 'christian music', 'christian rock']",100 Greatest 00s,0.435,0.939,4,0,-2.983,0.0594,0.0425,0.0,0.49,0.569,159.942,209493,4,49bzE5vRBRIota4qeHtQM8,spotify:album:6ajAHUwlgproUIgKxvJQZM
1w7ktn57RWJwLtHm5oJALX,Stick and Move,1,metal,Putrified J,7,5669,"['belgian death metal', 'slam death metal']",The Bwittle,0.37,0.932,1,0,-8.971,0.0909,0.0874,0.194,0.722,0.185,160.071,86649,3,0FEUlU4SuRLAGLYwCQqUIB,spotify:album:5Z7DML8P6QUeB5b1dHV6cQ
1AsUD9cgg1Yydz0Ibm59k4,Wait and Bleed,0,metal,Slipknot,76,10900648,"['alternative metal', 'nu metal', 'rap metal', 'rock']",Puro Rock Del Bueno,0.358,0.995,7,1,-4.851,0.0904,0.00152,0.0,0.271,0.329,93.032,147827,4,05fG473iIaoy82BF1aGhL8,spotify:album:0TFY5XGjWeUZ5fkF88mAsW
0yufrnuayEzVD1N5JlBgtq,Split and Spilt - A,1,metal,Stagnant Waters,1,305,"['avant-garde metal', 'french black metal']",Rifts,0.26,0.825,1,1,-10.503,0.0487,0.000491,0.299,0.166,0.0581,114.889,451000,4,2Xvq0W4fz322l8uxY1F1DY,spotify:album:38dQruV0iZQrZTpWacFids
2H4PlLNlP5FLvrGu6OSJwq,Hell Andhatamisr,0,metal,Toxodeth,3,1663,"['mexican death metal', 'technical thrash']",Demons Black Thy Beast (Special Edition 2024),0.229,0.846,9,1,-8.162,0.085,0.0719,0.895,0.389,0.217,139.757,80447,4,43bwODZEMdJ3e2hjCprshw,spotify:album:5nZYU0FZCycmiWe1qUl3NB
1jG5U1xcX04IMnOgexzGSX,Sound and Fury,4,metal,Dust Bolt,26,25183,"['german metal', 'german thrash metal', 'new wave of thrash metal']",Leave Nothing Behind,0.492,0.961,7,1,-4.786,0.152,7.46e-05,0.0278,0.243,0.295,140.052,293988,4,4YTVF2l3v9pGQz1QbUfg2q,spotify:album:1yrl6UZGXbdWp5QR9lQanl
1N0mMNPivJ29qSa1ZU7xol,Split and Spilt - C,3,metal,Stagnant Waters,1,305,"['avant-garde metal', 'french black metal']",Rifts,0.192,0.953,7,1,-6.693,0.118,2.06e-05,0.00248,0.445,0.0388,117.016,446082,4,2Xvq0W4fz322l8uxY1F1DY,spotify:album:38dQruV0iZQrZTpWacFids
1aQH0asBEtQROEGp9G9Ezo,The Shore,0,metal,Den Andre Lys,0,12,['black metal argentino'],The Shore,0.268,0.545,2,0,-11.94,0.0388,0.0187,0.848,0.413,0.0546,119.965,440625,4,2rSAPQrqRFdY3lY8AXamo1,spotify:album:5KRSUqgCnesZZTX6pfXCAr
7JybZq6UcbTs7IokDG7wpd,For Life and Love,9,metal,Embrace of Souls,8,1048,['symphonic power metal'],Forever Part of Me,0.429,0.945,4,0,-5.908,0.078,5.17e-05,0.00673,0.327,0.193,85.053,343412,4,0A6vTZ3bW7KXYnvQ0L7sQ9,spotify:album:2sT1lrCWsyjKHjJd2I58Qm
2ryGIKnqlkgrOmHPyXGgFP,Dead and Distant Clamors,8,metal,Merrimack,14,11744,"['black metal', 'french black metal']",Dead and Distant Clamors,0.107,0.909,9,1,-5.682,0.0646,8.5e-06,0.0417,0.0603,0.162,154.755,335067,3,3XWKabUW6Y9pm9vyNGlrhV,spotify:album:2wNvUE3pPCrbMBeDAHlBFn
